value1,value2,value3,TimeStamp,resistance
-1.000000E-01,-2.925383E-11,+9.910000E+37,+2.378985E+03,3418355818.708183
-9.000000E-02,-2.370122E-11,+9.910000E+37,+2.379912E+03,3797272882.999272
-8.000000E-02,-2.807601E-11,+9.910000E+37,+2.380930E+03,2849407732.7939405
-7.000000E-02,-2.290199E-11,+9.910000E+37,+2.381945E+03,3056502950.180312
-6.000000E-02,-2.647753E-11,+9.910000E+37,+2.382956E+03,2266072401.768594
-5.000000E-02,-2.681405E-11,+9.910000E+37,+2.383979E+03,1864694068.9675748
-4.000000E-02,-3.270326E-11,+9.910000E+37,+2.384989E+03,1223119652.2915452
-3.000000E-02,-2.959035E-11,+9.910000E+37,+2.386009E+03,1013844040.3712697
-2.000000E-02,-2.773948E-11,+9.910000E+37,+2.387024E+03,720994048.9151202
-1.000000E-02,-1.747557E-11,+9.910000E+37,+2.388040E+03,572227400.8802003
+0.000000E+00,-2.635133E-11,+9.910000E+37,+2.389055E+03,-0.0
+1.000000E-02,-2.618307E-11,+9.910000E+37,+2.390074E+03,-381926183.5987912
+2.000000E-02,-2.963241E-11,+9.910000E+37,+2.391112E+03,-674936665.6306388
+3.000000E-02,-2.651960E-11,+9.910000E+37,+2.392126E+03,-1131238781.8820796
+4.000000E-02,-1.680254E-11,+9.910000E+37,+2.393146E+03,-2380592458.045034
